sample	scalingFactor
20-20_H3K4me1_rep2_210115Fra_D20-3774-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6145
22-20_H3K4me1_rep1_210115Fra_D20-5403-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7334
22-20_H3K4me1_rep3-1_210115Fra_D20-4761-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8149
56-22_H3K4me1_rep1_210115Fra_D20-4168-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6598
56-22_H3K4me1_rep1-1_210115Fra_D20-5523-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.5650
56-22_H3K4me1_rep3_210115Fra_D20-3539-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6896
72-20_H3K4me1_rep3_210115Fra_D20-3542-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.0265
22-20_H3K4me1_rep2_210115Fra_D20-3771-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.0006
72-20_H3K4me1_rep1_210115Fra_D20-4025-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8956
22-20_H3K4me1_rep3_210115Fra_D20-3335-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.0170
20-20_H3K4me1_rep1_210115Fra_D20-4024-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	2.0021
72-20_H3K4me1_rep2_210115Fra_D20-3974-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	3.7972
20-20_H3K4me1_rep3_210115Fra_D20-3536-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8660
56-22_H3K4me1_rep2_210115Fra_D20-3777-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.2070
