sample	scalingFactor
56-22_H3K27me3_rep3_210115Fra_D20-4893-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	2.1093
20-20_H3K27me3_rep3-1_210115Fra_D20-4766-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9382
20-20_H3K27me3_rep2_210115Fra_D20-5077-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9047
22-20_H3K27me3_rep3_210115Fra_D20-4764-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.4604
22-20_H3K27me3_rep1_210115Fra_D20-4169-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8462
56-22_H3K27me3_rep2_210115Fra_D20-5079-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9416
56-22_H3K27me3_rep1_210115Fra_D20-5525-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8772
72-20_H3K27me3_rep3_210115Fra_D20-4896-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.6349
72-20_H3K27me3_rep1_210115Fra_D20-5528-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7384
22-20_H3K27me3_rep1-1_210115Fra_D20-5405-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9550
72-20_H3K27me3_rep2_210115Fra_D20-5202-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7688
22-20_H3K27me3_rep2_210115Fra_D20-4987-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6981
20-20_H3K27me3_rep1_210115Fra_D20-5408-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6552
